,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,-0.477,0.648,-0.147,-0.531,0.1,0.087,0.452,-0.279,0.259,0.384,-0.547,0.127,0.188,0.632,-0.635,0.364
Goal 2 Score,-0.477,1.0,-0.038,-0.075,-0.127,-0.261,0.576,0.854,-0.523,0.153,0.525,-0.233,-0.224,0.284,-0.066,-0.18,0.12
Goal 3 Score,0.648,-0.038,1.0,0.635,0.736,-0.674,0.531,0.247,-0.255,0.05,-0.188,0.722,-0.568,-0.437,-0.719,0.851,-0.594
Goal 4 Score,-0.147,-0.075,0.635,1.0,-0.745,0.821,-0.375,-0.326,0.392,-0.167,0.293,-0.813,0.691,0.874,0.289,-0.774,0.785
Goal 5 Score,-0.531,-0.127,0.736,-0.745,1.0,0.731,-0.346,-0.142,0.421,-0.096,0.457,-0.936,0.768,0.775,0.647,-0.942,0.745
Goal 6 Score,0.1,-0.261,-0.674,0.821,0.731,1.0,0.713,0.629,-0.661,0.235,-0.15,0.677,-0.81,-0.629,-0.46,0.741,-0.666
Goal 7 Score,0.087,0.576,0.531,-0.375,-0.346,0.713,1.0,-0.769,0.661,-0.307,0.075,-0.211,0.54,0.071,0.453,-0.398,0.194
Goal 8 Score,0.452,0.854,0.247,-0.326,-0.142,0.629,-0.769,1.0,0.745,-0.312,-0.337,-0.054,0.501,0.063,0.126,-0.108,0.2
Goal 9 Score,-0.279,-0.523,-0.255,0.392,0.421,-0.661,0.661,0.745,1.0,0.524,0.019,0.24,-0.737,-0.26,-0.14,0.295,-0.232
Goal 10 Score,0.259,0.153,0.05,-0.167,-0.096,0.235,-0.307,-0.312,0.524,1.0,-0.152,0.082,0.068,0.033,-0.263,0.017,0.037
Goal 11 Score,0.384,0.525,-0.188,0.293,0.457,-0.15,0.075,-0.337,0.019,-0.152,1.0,0.432,-0.285,-0.411,-0.326,0.485,-0.177
Goal 12 Score,-0.547,-0.233,0.722,-0.813,-0.936,0.677,-0.211,-0.054,0.24,0.082,0.432,1.0,0.735,0.859,0.618,-0.939,0.815
Goal 13 Score,0.127,-0.224,-0.568,0.691,0.768,-0.81,0.54,0.501,-0.737,0.068,-0.285,0.735,1.0,-0.65,-0.53,0.714,-0.563
Goal 14 Score,0.188,0.284,-0.437,0.874,0.775,-0.629,0.071,0.063,-0.26,0.033,-0.411,0.859,-0.65,1.0,-0.212,0.731,-0.774
Goal 15 Score,0.632,-0.066,-0.719,0.289,0.647,-0.46,0.453,0.126,-0.14,-0.263,-0.326,0.618,-0.53,-0.212,1.0,0.716,-0.319
Goal 16 Score,-0.635,-0.18,0.851,-0.774,-0.942,0.741,-0.398,-0.108,0.295,0.017,0.485,-0.939,0.714,0.731,0.716,1.0,0.773
Goal 17 Score,0.364,0.12,-0.594,0.785,0.745,-0.666,0.194,0.2,-0.232,0.037,-0.177,0.815,-0.563,-0.774,-0.319,0.773,1.0
