,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,0.172,0.131,-0.109,0.102,0.382,0.377,0.129,-0.57,0.172,-0.267,-0.224,-0.057,-0.283,-0.102,0.33,0.4
Goal 2 Score,0.172,1.0,0.267,0.049,-0.355,0.275,-0.414,0.191,0.021,-0.486,0.117,-0.508,0.556,-0.399,0.135,0.037,-0.391
Goal 3 Score,0.131,0.267,1.0,0.62,-0.274,-0.213,0.578,-0.468,0.511,0.206,0.39,0.426,-0.577,0.158,0.157,-0.557,0.532
Goal 4 Score,-0.109,0.049,0.62,1.0,0.792,0.493,-0.258,0.7,-0.501,0.269,-0.824,-0.079,0.216,0.1,-0.586,0.633,-0.404
Goal 5 Score,0.102,-0.355,-0.274,0.792,1.0,-0.267,-0.066,-0.423,0.34,-0.687,0.882,-0.32,0.236,-0.367,0.568,-0.462,0.055
Goal 6 Score,0.382,0.275,-0.213,0.493,-0.267,1.0,0.121,-0.441,0.509,-0.054,0.566,0.17,-0.107,0.425,0.292,-0.323,0.222
Goal 7 Score,0.377,-0.414,0.578,-0.258,-0.066,0.121,1.0,0.322,0.01,-0.364,-0.004,-0.305,0.638,0.005,-0.193,0.306,-0.694
Goal 8 Score,0.129,0.191,-0.468,0.7,-0.423,-0.441,0.322,1.0,0.54,0.051,0.574,0.268,-0.45,-0.07,0.557,-0.532,0.379
Goal 9 Score,-0.57,0.021,0.511,-0.501,0.34,0.509,0.01,0.54,1.0,0.082,-0.536,-0.468,0.284,-0.33,-0.192,0.495,-0.066
Goal 10 Score,0.172,-0.486,0.206,0.269,-0.687,-0.054,-0.364,0.051,0.082,1.0,0.497,-0.492,0.547,-0.346,0.269,-0.014,-0.323
Goal 11 Score,-0.267,0.117,0.39,-0.824,0.882,0.566,-0.004,0.574,-0.536,0.497,1.0,0.056,-0.034,0.09,-0.545,0.549,-0.072
Goal 12 Score,-0.224,-0.508,0.426,-0.079,-0.32,0.17,-0.305,0.268,-0.468,-0.492,0.056,1.0,0.854,-0.449,-0.0,0.293,-0.199
Goal 13 Score,-0.057,0.556,-0.577,0.216,0.236,-0.107,0.638,-0.45,0.284,0.547,-0.034,0.854,1.0,0.201,0.2,-0.424,0.489
Goal 14 Score,-0.283,-0.399,0.158,0.1,-0.367,0.425,0.005,-0.07,-0.33,-0.346,0.09,-0.449,0.201,1.0,0.508,-0.18,-0.034
Goal 15 Score,-0.102,0.135,0.157,-0.586,0.568,0.292,-0.193,0.557,-0.192,0.269,-0.545,-0.0,0.2,0.508,1.0,0.642,-0.212
Goal 16 Score,0.33,0.037,-0.557,0.633,-0.462,-0.323,0.306,-0.532,0.495,-0.014,0.549,0.293,-0.424,-0.18,0.642,1.0,0.293
Goal 17 Score,0.4,-0.391,0.532,-0.404,0.055,0.222,-0.694,0.379,-0.066,-0.323,-0.072,-0.199,0.489,-0.034,-0.212,0.293,1.0
