,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,0.095,0.888,-0.05,-0.676,-0.682,0.051,0.668,0.159,0.528,-0.183,0.083,-0.165,-0.374,-0.068,-0.795,0.804
Goal 2 Score,0.095,1.0,-0.111,-0.051,0.119,0.155,0.008,0.041,-0.239,-0.059,0.049,0.266,-0.396,0.081,0.286,0.179,0.069
Goal 3 Score,0.888,-0.111,1.0,0.202,0.572,0.887,-0.055,-0.721,-0.321,-0.395,0.367,0.065,0.008,0.293,0.183,0.848,-0.774
Goal 4 Score,-0.05,-0.051,0.202,1.0,-0.014,-0.168,0.105,0.146,-0.239,0.174,0.168,0.114,-0.204,0.07,0.249,-0.21,0.217
Goal 5 Score,-0.676,0.119,0.572,-0.014,1.0,-0.401,-0.271,0.823,-0.297,0.718,0.364,0.549,-0.518,-0.425,0.387,-0.567,0.845
Goal 6 Score,-0.682,0.155,0.887,-0.168,-0.401,1.0,0.311,0.604,0.53,0.111,-0.494,-0.297,0.235,-0.143,-0.393,-0.619,0.599
Goal 7 Score,0.051,0.008,-0.055,0.105,-0.271,0.311,1.0,0.354,-0.549,0.564,0.529,0.633,-0.564,-0.307,0.523,-0.3,0.256
Goal 8 Score,0.668,0.041,-0.721,0.146,0.823,0.604,0.354,1.0,0.167,-0.646,-0.165,-0.443,0.455,0.426,-0.234,0.733,-0.9
Goal 9 Score,0.159,-0.239,-0.321,-0.239,-0.297,0.53,-0.549,0.167,1.0,0.545,0.887,0.8,-0.82,0.004,0.863,0.041,0.197
Goal 10 Score,0.528,-0.059,-0.395,0.174,0.718,0.111,0.564,-0.646,0.545,1.0,-0.607,-0.784,0.766,0.428,-0.606,0.597,-0.747
Goal 11 Score,-0.183,0.049,0.367,0.168,0.364,-0.494,0.529,-0.165,0.887,-0.607,1.0,-0.853,0.801,0.131,-0.851,-0.091,-0.188
Goal 12 Score,0.083,0.266,0.065,0.114,0.549,-0.297,0.633,-0.443,0.8,-0.784,-0.853,1.0,0.957,0.363,-0.891,0.153,-0.475
Goal 13 Score,-0.165,-0.396,0.008,-0.204,-0.518,0.235,-0.564,0.455,-0.82,0.766,0.801,0.957,1.0,-0.262,0.891,-0.235,0.533
Goal 14 Score,-0.374,0.081,0.293,0.07,-0.425,-0.143,-0.307,0.426,0.004,0.428,0.131,0.363,-0.262,1.0,0.125,-0.28,0.487
Goal 15 Score,-0.068,0.286,0.183,0.249,0.387,-0.393,0.523,-0.234,0.863,-0.606,-0.851,-0.891,0.891,0.125,1.0,0.058,-0.28
Goal 16 Score,-0.795,0.179,0.848,-0.21,-0.567,-0.619,-0.3,0.733,0.041,0.597,-0.091,0.153,-0.235,-0.28,0.058,1.0,0.753
Goal 17 Score,0.804,0.069,-0.774,0.217,0.845,0.599,0.256,-0.9,0.197,-0.747,-0.188,-0.475,0.533,0.487,-0.28,0.753,1.0
