,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,0.941,0.978,-0.775,-0.751,-0.091,-0.293,-0.647,0.05,0.456,-0.428,-0.788,0.88,0.809,0.244,-0.943,0.584
Goal 2 Score,0.941,1.0,-0.968,0.818,0.768,0.1,0.386,0.64,-0.043,-0.375,0.42,0.793,-0.91,-0.754,-0.312,0.918,-0.477
Goal 3 Score,0.978,-0.968,1.0,0.801,0.773,0.124,0.336,0.677,-0.084,-0.397,0.459,0.795,-0.93,-0.82,-0.328,0.932,-0.526
Goal 4 Score,-0.775,0.818,0.801,1.0,-0.34,-0.422,-0.039,-0.644,-0.061,0.659,0.019,-0.81,0.709,0.699,0.266,-0.819,0.267
Goal 5 Score,-0.751,0.768,0.773,-0.34,1.0,0.35,-0.589,-0.348,0.209,-0.133,-0.713,-0.501,0.774,0.547,0.299,-0.692,0.525
Goal 6 Score,-0.091,0.1,0.124,-0.422,0.35,1.0,0.606,-0.481,0.05,0.614,0.526,-0.462,0.219,0.266,0.357,-0.077,-0.379
Goal 7 Score,-0.293,0.386,0.336,-0.039,-0.589,0.606,1.0,0.164,-0.133,-0.351,-0.567,-0.028,0.277,-0.005,-0.218,-0.249,0.302
Goal 8 Score,-0.647,0.64,0.677,-0.644,-0.348,-0.481,0.164,1.0,0.337,0.563,0.047,-0.732,0.711,0.76,0.572,-0.577,-0.008
Goal 9 Score,0.05,-0.043,-0.084,-0.061,0.209,0.05,-0.133,0.337,1.0,0.081,0.102,0.034,-0.237,-0.387,-0.213,0.02,0.14
Goal 10 Score,0.456,-0.375,-0.397,0.659,-0.133,0.614,-0.351,0.563,0.081,1.0,-0.37,0.609,-0.344,-0.513,-0.098,0.491,-0.041
Goal 11 Score,-0.428,0.42,0.459,0.019,-0.713,0.526,-0.567,0.047,0.102,-0.37,1.0,-0.028,0.437,0.275,-0.051,-0.328,0.677
Goal 12 Score,-0.788,0.793,0.795,-0.81,-0.501,-0.462,-0.028,-0.732,0.034,0.609,-0.028,1.0,0.828,0.729,0.428,-0.785,0.149
Goal 13 Score,0.88,-0.91,-0.93,0.709,0.774,0.219,0.277,0.711,-0.237,-0.344,0.437,0.828,1.0,-0.8,-0.462,0.811,-0.352
Goal 14 Score,0.809,-0.754,-0.82,0.699,0.547,0.266,-0.005,0.76,-0.387,-0.513,0.275,0.729,-0.8,1.0,-0.293,0.777,-0.389
Goal 15 Score,0.244,-0.312,-0.328,0.266,0.299,0.357,-0.218,0.572,-0.213,-0.098,-0.051,0.428,-0.462,-0.293,1.0,0.25,0.187
Goal 16 Score,-0.943,0.918,0.932,-0.819,-0.692,-0.077,-0.249,-0.577,0.02,0.491,-0.328,-0.785,0.811,0.777,0.25,1.0,0.55
Goal 17 Score,0.584,-0.477,-0.526,0.267,0.525,-0.379,0.302,-0.008,0.14,-0.041,0.677,0.149,-0.352,-0.389,0.187,0.55,1.0
