,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,-0.059,0.823,0.08,-0.398,-0.067,0.166,0.097,-0.151,-0.012,-0.251,-0.608,0.048,-0.045,0.601,-0.68,0.213
Goal 2 Score,-0.059,1.0,-0.072,-0.492,0.387,-0.533,0.41,0.665,-0.316,-0.495,0.265,0.13,-0.557,0.482,-0.477,0.167,0.013
Goal 3 Score,0.823,-0.072,1.0,0.115,0.423,-0.213,-0.048,0.239,-0.197,0.212,0.557,0.709,-0.349,-0.115,-0.715,0.757,-0.432
Goal 4 Score,0.08,-0.492,0.115,1.0,0.213,-0.019,0.263,0.111,-0.093,-0.309,0.016,-0.071,-0.251,0.614,-0.452,0.016,0.164
Goal 5 Score,-0.398,0.387,0.423,0.213,1.0,0.282,-0.087,-0.305,0.276,-0.13,-0.305,-0.569,0.395,0.004,0.576,-0.445,0.341
Goal 6 Score,-0.067,-0.533,-0.213,-0.019,0.282,1.0,0.123,0.875,-0.68,-0.005,0.664,0.18,-0.721,0.2,-0.352,0.163,-0.453
Goal 7 Score,0.166,0.41,-0.048,0.263,-0.087,0.123,1.0,-0.098,-0.047,0.286,0.324,0.301,-0.015,-0.478,0.129,-0.346,-0.406
Goal 8 Score,0.097,0.665,0.239,0.111,-0.305,0.875,-0.098,1.0,0.782,-0.0,-0.71,-0.316,0.84,-0.109,0.448,-0.105,0.522
Goal 9 Score,-0.151,-0.316,-0.197,-0.093,0.276,-0.68,-0.047,0.782,1.0,0.473,0.786,0.38,-0.895,-0.102,-0.441,0.103,-0.771
Goal 10 Score,-0.012,-0.495,0.212,-0.309,-0.13,-0.005,0.286,-0.0,0.473,1.0,-0.393,-0.286,0.185,0.522,0.062,-0.035,0.592
Goal 11 Score,-0.251,0.265,0.557,0.016,-0.305,0.664,0.324,-0.71,0.786,-0.393,1.0,-0.645,0.807,0.141,0.598,-0.244,0.826
Goal 12 Score,-0.608,0.13,0.709,-0.071,-0.569,0.18,0.301,-0.316,0.38,-0.286,-0.645,1.0,0.546,0.318,0.669,-0.509,0.665
Goal 13 Score,0.048,-0.557,-0.349,-0.251,0.395,-0.721,-0.015,0.84,-0.895,0.185,0.807,0.546,1.0,0.031,-0.675,0.222,-0.69
Goal 14 Score,-0.045,0.482,-0.115,0.614,0.004,0.2,-0.478,-0.109,-0.102,0.522,0.141,0.318,0.031,1.0,0.263,-0.218,-0.389
Goal 15 Score,0.601,-0.477,-0.715,-0.452,0.576,-0.352,0.129,0.448,-0.441,0.062,0.598,0.669,-0.675,0.263,1.0,0.629,-0.407
Goal 16 Score,-0.68,0.167,0.757,0.016,-0.445,0.163,-0.346,-0.105,0.103,-0.035,-0.244,-0.509,0.222,-0.218,0.629,1.0,0.222
Goal 17 Score,0.213,0.013,-0.432,0.164,0.341,-0.453,-0.406,0.522,-0.771,0.592,0.826,0.665,-0.69,-0.389,-0.407,0.222,1.0
