,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,-0.159,0.199,0.2,-0.209,0.392,0.172,-0.228,-0.187,-0.064,0.123,0.026,-0.529,-0.228,-0.174,0.021,-0.142
Goal 2 Score,-0.159,1.0,-0.862,0.95,-0.944,-0.183,0.887,-0.449,-0.823,-0.85,-0.312,-0.925,0.227,-0.657,-0.59,-0.63,-0.053
Goal 3 Score,0.199,-0.862,1.0,0.877,-0.856,-0.295,0.87,-0.372,-0.672,-0.741,-0.361,-0.917,0.38,-0.449,-0.571,-0.715,-0.034
Goal 4 Score,0.2,0.95,0.877,1.0,0.932,0.286,-0.905,0.517,0.751,0.73,0.362,0.926,-0.239,0.515,0.588,0.741,-0.067
Goal 5 Score,-0.209,-0.944,-0.856,0.932,1.0,-0.182,0.907,-0.413,-0.815,-0.867,-0.131,-0.903,0.071,-0.642,-0.668,-0.682,-0.139
Goal 6 Score,0.392,-0.183,-0.295,0.286,-0.182,1.0,0.26,-0.283,-0.183,-0.051,0.02,-0.442,0.531,0.112,-0.248,-0.483,0.498
Goal 7 Score,0.172,0.887,0.87,-0.905,0.907,0.26,1.0,0.533,0.693,0.739,0.281,0.902,-0.177,0.487,0.727,0.743,0.082
Goal 8 Score,-0.228,-0.449,-0.372,0.517,-0.413,-0.283,0.533,1.0,-0.341,-0.154,-0.243,-0.488,0.22,-0.054,-0.434,-0.258,0.373
Goal 9 Score,-0.187,-0.823,-0.672,0.751,-0.815,-0.183,0.693,-0.341,1.0,-0.799,-0.048,-0.824,0.163,-0.744,-0.527,-0.507,-0.001
Goal 10 Score,-0.064,-0.85,-0.741,0.73,-0.867,-0.051,0.739,-0.154,-0.799,1.0,-0.011,-0.779,0.048,-0.82,-0.605,-0.466,-0.393
Goal 11 Score,0.123,-0.312,-0.361,0.362,-0.131,0.02,0.281,-0.243,-0.048,-0.011,1.0,-0.3,0.495,0.034,0.09,-0.295,0.37
Goal 12 Score,0.026,-0.925,-0.917,0.926,-0.903,-0.442,0.902,-0.488,-0.824,-0.779,-0.3,1.0,0.429,-0.539,-0.652,-0.772,0.061
Goal 13 Score,-0.529,0.227,0.38,-0.239,0.071,0.531,-0.177,0.22,0.163,0.048,0.495,0.429,1.0,-0.104,0.076,0.23,-0.368
Goal 14 Score,-0.228,-0.657,-0.449,0.515,-0.642,0.112,0.487,-0.054,-0.744,-0.82,0.034,-0.539,-0.104,1.0,-0.456,-0.291,-0.339
Goal 15 Score,-0.174,-0.59,-0.571,0.588,-0.668,-0.248,0.727,-0.434,-0.527,-0.605,0.09,-0.652,0.076,-0.456,1.0,-0.497,-0.238
Goal 16 Score,0.021,-0.63,-0.715,0.741,-0.682,-0.483,0.743,-0.258,-0.507,-0.466,-0.295,-0.772,0.23,-0.291,-0.497,1.0,0.103
Goal 17 Score,-0.142,-0.053,-0.034,-0.067,-0.139,0.498,0.082,0.373,-0.001,-0.393,0.37,0.061,-0.368,-0.339,-0.238,0.103,1.0
