,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,0.802,0.871,-0.418,-0.139,-0.622,-0.642,-0.417,-0.231,0.772,0.395,-0.69,0.765,0.703,-0.381,-0.755,0.769
Goal 2 Score,0.802,1.0,-0.864,0.278,0.356,0.579,0.873,0.721,-0.185,-0.691,-0.659,0.519,-0.802,-0.767,0.556,0.743,-0.81
Goal 3 Score,0.871,-0.864,1.0,0.62,0.199,0.848,0.695,0.388,0.108,-0.812,-0.415,0.708,-0.901,-0.594,0.32,0.868,-0.851
Goal 4 Score,-0.418,0.278,0.62,1.0,-0.183,-0.765,0.076,0.391,-0.45,0.604,0.13,-0.744,0.703,-0.011,-0.003,-0.685,0.397
Goal 5 Score,-0.139,0.356,0.199,-0.183,1.0,-0.125,-0.119,-0.123,0.352,0.211,0.498,-0.356,0.462,0.215,-0.432,-0.368,0.276
Goal 6 Score,-0.622,0.579,0.848,-0.765,-0.125,1.0,-0.33,0.009,-0.2,0.817,0.2,-0.759,0.811,0.223,-0.065,-0.858,0.638
Goal 7 Score,-0.642,0.873,0.695,0.076,-0.119,-0.33,1.0,-0.897,0.338,0.412,0.52,-0.169,0.518,0.763,-0.476,-0.436,0.726
Goal 8 Score,-0.417,0.721,0.388,0.391,-0.123,0.009,-0.897,1.0,0.507,0.157,0.53,0.118,0.228,0.677,-0.466,-0.154,0.481
Goal 9 Score,-0.231,-0.185,0.108,-0.45,0.352,-0.2,0.338,0.507,1.0,0.214,-0.296,-0.415,0.056,-0.108,0.325,-0.12,0.003
Goal 10 Score,0.772,-0.691,-0.812,0.604,0.211,0.817,0.412,0.157,0.214,1.0,-0.501,0.838,-0.834,-0.486,0.407,0.926,-0.556
Goal 11 Score,0.395,-0.659,-0.415,0.13,0.498,0.2,0.52,0.53,-0.296,-0.501,1.0,0.323,-0.521,-0.519,0.776,0.511,-0.277
Goal 12 Score,-0.69,0.519,0.708,-0.744,-0.356,-0.759,-0.169,0.118,-0.415,0.838,0.323,1.0,0.842,0.37,-0.302,-0.863,0.522
Goal 13 Score,0.765,-0.802,-0.901,0.703,0.462,0.811,0.518,0.228,0.056,-0.834,-0.521,0.842,1.0,-0.546,0.453,0.9,-0.743
Goal 14 Score,0.703,-0.767,-0.594,-0.011,0.215,0.223,0.763,0.677,-0.108,-0.486,-0.519,0.37,-0.546,1.0,0.721,0.459,-0.613
Goal 15 Score,-0.381,0.556,0.32,-0.003,-0.432,-0.065,-0.476,-0.466,0.325,0.407,0.776,-0.302,0.453,0.721,1.0,-0.404,0.245
Goal 16 Score,-0.755,0.743,0.868,-0.685,-0.368,-0.858,-0.436,-0.154,-0.12,0.926,0.511,-0.863,0.9,0.459,-0.404,1.0,0.642
Goal 17 Score,0.769,-0.81,-0.851,0.397,0.276,0.638,0.726,0.481,0.003,-0.556,-0.277,0.522,-0.743,-0.613,0.245,0.642,1.0
