,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,0.326,0.746,0.442,-0.341,0.291,-0.32,-0.492,-0.501,0.552,-0.396,-0.222,-0.51,0.466,0.379,-0.542,-0.436
Goal 2 Score,0.326,1.0,-0.125,-0.468,0.51,-0.728,0.622,0.522,0.532,-0.463,-0.04,-0.126,0.524,-0.455,-0.66,0.414,0.532
Goal 3 Score,0.746,-0.125,1.0,-0.382,0.28,-0.009,0.341,0.439,0.45,-0.506,0.514,0.461,0.438,-0.443,-0.273,0.55,0.37
Goal 4 Score,0.442,-0.468,-0.382,1.0,0.906,-0.655,0.934,0.994,0.988,-0.984,0.8,0.707,0.992,-0.995,-0.953,0.965,0.976
Goal 5 Score,-0.341,0.51,0.28,0.906,1.0,0.687,-0.852,-0.904,-0.879,0.869,-0.609,-0.63,-0.894,0.898,0.874,-0.871,-0.871
Goal 6 Score,0.291,-0.728,-0.009,-0.655,0.687,1.0,0.743,0.681,0.683,-0.626,0.171,0.193,0.676,-0.637,-0.778,0.598,0.693
Goal 7 Score,-0.32,0.622,0.341,0.934,-0.852,0.743,1.0,-0.942,-0.942,0.907,-0.632,-0.599,-0.932,0.929,0.961,-0.893,-0.929
Goal 8 Score,-0.492,0.522,0.439,0.994,-0.904,0.681,-0.942,1.0,-0.994,0.992,-0.768,-0.683,-0.997,0.995,0.96,-0.975,-0.982
Goal 9 Score,-0.501,0.532,0.45,0.988,-0.879,0.683,-0.942,-0.994,1.0,0.986,-0.771,-0.685,-0.996,0.992,0.96,-0.967,-0.973
Goal 10 Score,0.552,-0.463,-0.506,-0.984,0.869,-0.626,0.907,0.992,0.986,1.0,0.804,0.707,0.99,-0.991,-0.927,0.988,0.974
Goal 11 Score,-0.396,-0.04,0.514,0.8,-0.609,0.171,-0.632,-0.768,-0.771,0.804,1.0,-0.825,-0.773,0.811,0.619,-0.799,-0.731
Goal 12 Score,-0.222,-0.126,0.461,0.707,-0.63,0.193,-0.599,-0.683,-0.685,0.707,-0.825,1.0,-0.672,0.737,0.537,-0.758,-0.632
Goal 13 Score,-0.51,0.524,0.438,0.992,-0.894,0.676,-0.932,-0.997,-0.996,0.99,-0.773,-0.672,1.0,0.994,0.957,-0.97,-0.978
Goal 14 Score,0.466,-0.455,-0.443,-0.995,0.898,-0.637,0.929,0.995,0.992,-0.991,0.811,0.737,0.994,1.0,-0.941,0.979,0.974
Goal 15 Score,0.379,-0.66,-0.273,-0.953,0.874,-0.778,0.961,0.96,0.96,-0.927,0.619,0.537,0.957,-0.941,1.0,0.896,0.956
Goal 16 Score,-0.542,0.414,0.55,0.965,-0.871,0.598,-0.893,-0.975,-0.967,0.988,-0.799,-0.758,-0.97,0.979,0.896,1.0,-0.95
Goal 17 Score,-0.436,0.532,0.37,0.976,-0.871,0.693,-0.929,-0.982,-0.973,0.974,-0.731,-0.632,-0.978,0.974,0.956,-0.95,1.0
