,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,-0.695,0.954,0.979,-0.955,0.974,-0.957,-0.96,-0.548,-0.766,0.805,0.001,0.153,0.975,0.094,-0.279,-0.961
Goal 2 Score,-0.695,1.0,0.683,0.639,-0.707,0.751,-0.73,-0.526,-0.351,-0.682,0.666,0.226,-0.01,0.655,-0.234,0.079,-0.658
Goal 3 Score,0.954,0.683,1.0,-0.939,0.883,-0.908,0.954,0.929,0.609,0.735,-0.736,-0.171,-0.14,-0.959,-0.281,0.333,0.948
Goal 4 Score,0.979,0.639,-0.939,1.0,0.951,-0.958,0.961,0.967,0.522,0.752,-0.785,-0.009,-0.176,-0.977,-0.116,0.295,0.958
Goal 5 Score,-0.955,-0.707,0.883,0.951,1.0,0.979,-0.95,-0.935,-0.316,-0.871,0.908,-0.037,0.164,0.931,-0.128,-0.195,-0.96
Goal 6 Score,0.974,0.751,-0.908,-0.958,0.979,1.0,0.955,0.938,0.442,0.844,-0.84,-0.034,-0.053,-0.948,0.07,0.173,0.96
Goal 7 Score,-0.957,-0.73,0.954,0.961,-0.95,0.955,1.0,-0.933,-0.467,-0.809,0.843,0.063,0.178,0.955,0.055,-0.263,-0.962
Goal 8 Score,-0.96,-0.526,0.929,0.967,-0.935,0.938,-0.933,1.0,-0.476,-0.769,0.79,-0.007,0.139,0.962,0.15,-0.299,-0.967
Goal 9 Score,-0.548,-0.351,0.609,0.522,-0.316,0.442,-0.467,-0.476,1.0,-0.09,0.071,0.125,-0.044,0.578,0.62,-0.254,-0.445
Goal 10 Score,-0.766,-0.682,0.735,0.752,-0.871,0.844,-0.809,-0.769,-0.09,1.0,0.822,0.111,-0.061,0.754,-0.238,0.045,-0.851
Goal 11 Score,0.805,0.666,-0.736,-0.785,0.908,-0.84,0.843,0.79,0.071,0.822,1.0,0.133,-0.328,-0.769,0.315,0.121,0.842
Goal 12 Score,0.001,0.226,-0.171,-0.009,-0.037,-0.034,0.063,-0.007,0.125,0.111,0.133,1.0,0.606,-0.042,-0.251,-0.295,0.086
Goal 13 Score,0.153,-0.01,-0.14,-0.176,0.164,-0.053,0.178,0.139,-0.044,-0.061,-0.328,0.606,1.0,-0.134,-0.046,0.429,0.095
Goal 14 Score,0.975,0.655,-0.959,-0.977,0.931,-0.948,0.955,0.962,0.578,0.754,-0.769,-0.042,-0.134,1.0,-0.163,0.306,0.962
Goal 15 Score,0.094,-0.234,-0.281,-0.116,-0.128,0.07,0.055,0.15,0.62,-0.238,0.315,-0.251,-0.046,-0.163,1.0,0.361,0.079
Goal 16 Score,-0.279,0.079,0.333,0.295,-0.195,0.173,-0.263,-0.299,-0.254,0.045,0.121,-0.295,0.429,0.306,0.361,1.0,-0.209
Goal 17 Score,-0.961,-0.658,0.948,0.958,-0.96,0.96,-0.962,-0.967,-0.445,-0.851,0.842,0.086,0.095,0.962,0.079,-0.209,1.0
