,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,0.6,-0.707,0.783,-0.457,-0.156,0.606,0.755,-0.814,-0.716,0.643,0.674,-0.793,-0.775,0.756,0.667,0.781
Goal 2 Score,0.6,1.0,0.775,-0.715,0.513,0.421,-0.761,-0.8,0.809,0.761,-0.666,-0.766,0.658,0.772,-0.722,-0.762,-0.746
Goal 3 Score,-0.707,0.775,1.0,0.954,-0.511,-0.489,0.817,0.963,-0.932,-0.934,0.678,0.928,-0.914,-0.956,0.949,0.948,0.966
Goal 4 Score,0.783,-0.715,0.954,1.0,0.49,0.426,-0.71,-0.918,0.919,0.88,-0.634,-0.88,0.913,0.92,-0.921,-0.875,-0.954
Goal 5 Score,-0.457,0.513,-0.511,0.49,1.0,0.054,0.551,0.438,-0.375,-0.393,0.447,0.297,-0.276,-0.401,0.373,0.361,0.386
Goal 6 Score,-0.156,0.421,-0.489,0.426,0.054,1.0,0.646,0.602,-0.481,-0.635,0.018,0.668,-0.548,-0.602,0.629,0.615,0.545
Goal 7 Score,0.606,-0.761,0.817,-0.71,0.551,0.646,1.0,-0.874,0.794,0.871,-0.456,-0.826,0.75,0.85,-0.838,-0.839,-0.791
Goal 8 Score,0.755,-0.8,0.963,-0.918,0.438,0.602,-0.874,1.0,0.963,0.985,-0.645,-0.975,0.944,0.991,-0.984,-0.966,-0.98
Goal 9 Score,-0.814,0.809,-0.932,0.919,-0.375,-0.481,0.794,0.963,1.0,-0.939,0.678,0.929,-0.945,-0.963,0.951,0.931,0.967
Goal 10 Score,-0.716,0.761,-0.934,0.88,-0.393,-0.635,0.871,0.985,-0.939,1.0,0.593,0.974,-0.942,-0.983,0.983,0.972,0.959
Goal 11 Score,0.643,-0.666,0.678,-0.634,0.447,0.018,-0.456,-0.645,0.678,0.593,1.0,-0.615,0.592,0.639,-0.584,-0.601,-0.644
Goal 12 Score,0.674,-0.766,0.928,-0.88,0.297,0.668,-0.826,-0.975,0.929,0.974,-0.615,1.0,0.94,0.974,-0.967,-0.968,-0.957
Goal 13 Score,-0.793,0.658,-0.914,0.913,-0.276,-0.548,0.75,0.944,-0.945,-0.942,0.592,0.94,1.0,-0.963,0.97,0.921,0.966
Goal 14 Score,-0.775,0.772,-0.956,0.92,-0.401,-0.602,0.85,0.991,-0.963,-0.983,0.639,0.974,-0.963,1.0,0.992,0.971,0.98
Goal 15 Score,0.756,-0.722,0.949,-0.921,0.373,0.629,-0.838,-0.984,0.951,0.983,-0.584,-0.967,0.97,0.992,1.0,-0.964,-0.981
Goal 16 Score,0.667,-0.762,0.948,-0.875,0.361,0.615,-0.839,-0.966,0.931,0.972,-0.601,-0.968,0.921,0.971,-0.964,1.0,-0.945
Goal 17 Score,0.781,-0.746,0.966,-0.954,0.386,0.545,-0.791,-0.98,0.967,0.959,-0.644,-0.957,0.966,0.98,-0.981,-0.945,1.0
