,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,-0.27,0.247,-0.099,0.161,0.147,0.168,-0.111,-0.344,0.464,-0.366,-0.426,-0.174,-0.469,0.049,-0.55,0.105
Goal 2 Score,-0.27,1.0,0.809,-0.506,0.004,-0.737,0.811,0.856,-0.701,-0.017,-0.696,0.452,-0.916,-0.132,0.845,-0.866,0.697
Goal 3 Score,0.247,0.809,1.0,0.623,0.186,0.788,-0.759,-0.764,0.654,0.058,0.667,-0.518,0.834,-0.211,-0.848,0.779,-0.74
Goal 4 Score,-0.099,-0.506,0.623,1.0,0.251,-0.262,0.27,0.484,-0.671,-0.106,-0.365,0.089,-0.417,-0.092,0.339,-0.455,0.268
Goal 5 Score,0.161,0.004,0.186,0.251,1.0,-0.472,0.504,0.17,0.063,0.153,0.081,0.452,-0.286,0.523,0.445,-0.125,0.621
Goal 6 Score,0.147,-0.737,0.788,-0.262,-0.472,1.0,0.887,0.858,-0.401,-0.039,-0.396,0.861,-0.885,0.41,0.942,-0.619,0.853
Goal 7 Score,0.168,0.811,-0.759,0.27,0.504,0.887,1.0,-0.782,0.524,-0.171,0.507,-0.667,0.925,-0.182,-0.946,0.801,-0.911
Goal 8 Score,-0.111,0.856,-0.764,0.484,0.17,0.858,-0.782,1.0,0.608,0.152,0.579,-0.648,0.871,-0.154,-0.848,0.698,-0.742
Goal 9 Score,-0.344,-0.701,0.654,-0.671,0.063,-0.401,0.524,0.608,1.0,0.048,-0.605,0.069,-0.665,-0.247,0.551,-0.713,0.578
Goal 10 Score,0.464,-0.017,0.058,-0.106,0.153,-0.039,-0.171,0.152,0.048,1.0,-0.275,-0.016,0.093,0.185,0.023,0.214,-0.154
Goal 11 Score,-0.366,-0.696,0.667,-0.365,0.081,-0.396,0.507,0.579,-0.605,-0.275,1.0,0.017,-0.556,-0.07,0.557,-0.673,0.463
Goal 12 Score,-0.426,0.452,-0.518,0.089,0.452,0.861,-0.667,-0.648,0.069,-0.016,0.017,1.0,0.656,-0.528,-0.722,0.239,-0.628
Goal 13 Score,-0.174,-0.916,0.834,-0.417,-0.286,-0.885,0.925,0.871,-0.665,0.093,-0.556,0.656,1.0,0.086,0.941,-0.857,0.879
Goal 14 Score,-0.469,-0.132,-0.211,-0.092,0.523,0.41,-0.182,-0.154,-0.247,0.185,-0.07,-0.528,0.086,1.0,-0.245,-0.178,-0.224
Goal 15 Score,0.049,0.845,-0.848,0.339,0.445,0.942,-0.946,-0.848,0.551,0.023,0.557,-0.722,0.941,-0.245,1.0,0.763,-0.896
Goal 16 Score,-0.55,-0.866,0.779,-0.455,-0.125,-0.619,0.801,0.698,-0.713,0.214,-0.673,0.239,-0.857,-0.178,0.763,1.0,0.743
Goal 17 Score,0.105,0.697,-0.74,0.268,0.621,0.853,-0.911,-0.742,0.578,-0.154,0.463,-0.628,0.879,-0.224,-0.896,0.743,1.0
