,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,-0.221,-0.071,0.204,-0.248,0.243,0.242,-0.05,0.124,0.361,0.398,0.173,0.22,0.193,0.179,0.154,-0.088
Goal 2 Score,-0.221,1.0,-0.424,0.436,-0.511,0.37,0.405,0.105,0.569,0.449,0.494,0.442,0.471,0.457,0.515,0.436,-0.244
Goal 3 Score,-0.071,-0.424,1.0,0.961,-0.927,0.855,0.696,0.124,0.915,0.76,0.856,0.921,0.886,0.448,0.765,0.916,-0.762
Goal 4 Score,0.204,0.436,0.961,1.0,0.966,-0.927,-0.608,-0.022,-0.909,-0.697,-0.827,-0.965,-0.92,-0.569,-0.816,-0.965,0.803
Goal 5 Score,-0.248,-0.511,-0.927,0.966,1.0,0.904,0.592,0.055,0.888,0.684,0.839,0.927,0.894,0.595,0.842,0.936,-0.74
Goal 6 Score,0.243,0.37,0.855,-0.927,0.904,1.0,-0.467,0.077,-0.777,-0.559,-0.737,-0.925,-0.897,-0.654,-0.739,-0.95,0.881
Goal 7 Score,0.242,0.405,0.696,-0.608,0.592,-0.467,1.0,-0.042,-0.628,-0.689,-0.622,-0.592,-0.543,-0.272,-0.514,-0.582,0.43
Goal 8 Score,-0.05,0.105,0.124,-0.022,0.055,0.077,-0.042,1.0,0.074,-0.08,-0.158,0.065,0.106,0.456,0.098,0.12,-0.114
Goal 9 Score,0.124,0.569,0.915,-0.909,0.888,-0.777,-0.628,0.074,1.0,-0.779,-0.834,-0.912,-0.904,-0.549,-0.818,-0.885,0.664
Goal 10 Score,0.361,0.449,0.76,-0.697,0.684,-0.559,-0.689,-0.08,-0.779,1.0,-0.872,-0.677,-0.73,-0.336,-0.596,-0.628,0.446
Goal 11 Score,0.398,0.494,0.856,-0.827,0.839,-0.737,-0.622,-0.158,-0.834,-0.872,1.0,-0.786,-0.835,-0.397,-0.637,-0.758,0.629
Goal 12 Score,0.173,0.442,0.921,-0.965,0.927,-0.925,-0.592,0.065,-0.912,-0.677,-0.786,1.0,-0.9,-0.615,-0.827,-0.971,0.79
Goal 13 Score,0.22,0.471,0.886,-0.92,0.894,-0.897,-0.543,0.106,-0.904,-0.73,-0.835,-0.9,1.0,-0.663,-0.776,-0.94,0.806
Goal 14 Score,0.193,0.457,0.448,-0.569,0.595,-0.654,-0.272,0.456,-0.549,-0.336,-0.397,-0.615,-0.663,1.0,-0.542,-0.694,0.566
Goal 15 Score,0.179,0.515,0.765,-0.816,0.842,-0.739,-0.514,0.098,-0.818,-0.596,-0.637,-0.827,-0.776,-0.542,1.0,-0.815,0.529
Goal 16 Score,0.154,0.436,0.916,-0.965,0.936,-0.95,-0.582,0.12,-0.885,-0.628,-0.758,-0.971,-0.94,-0.694,-0.815,1.0,0.841
Goal 17 Score,-0.088,-0.244,-0.762,0.803,-0.74,0.881,0.43,-0.114,0.664,0.446,0.629,0.79,0.806,0.566,0.529,0.841,1.0
