,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,-0.49,0.675,0.166,0.099,0.616,0.241,-0.715,-0.546,0.615,0.402,0.616,-0.666,-0.627,0.767,-0.613,0.69
Goal 2 Score,-0.49,1.0,0.586,0.216,0.23,0.512,-0.036,-0.184,-0.312,0.552,-0.042,0.575,-0.558,-0.619,0.702,-0.618,0.681
Goal 3 Score,0.675,0.586,1.0,0.321,-0.303,-0.202,-0.431,0.385,0.602,-0.342,-0.413,-0.417,0.491,0.599,-0.741,0.683,-0.391
Goal 4 Score,0.166,0.216,0.321,1.0,0.22,-0.397,0.539,0.136,-0.242,-0.554,0.114,-0.349,0.237,0.181,-0.014,0.129,-0.44
Goal 5 Score,0.099,0.23,-0.303,0.22,1.0,0.006,0.189,0.334,0.252,-0.193,-0.049,-0.09,0.076,0.315,-0.252,0.177,-0.199
Goal 6 Score,0.616,0.512,-0.202,-0.397,0.006,1.0,0.338,0.39,0.325,-0.59,0.014,-0.821,0.822,0.415,-0.652,0.461,-0.652
Goal 7 Score,0.241,-0.036,-0.431,0.539,0.189,0.338,1.0,0.051,0.314,0.245,-0.219,0.248,-0.16,-0.004,-0.083,0.02,0.176
Goal 8 Score,-0.715,-0.184,0.385,0.136,0.334,0.39,0.051,1.0,-0.487,0.434,0.329,0.257,-0.311,-0.358,0.557,-0.293,0.508
Goal 9 Score,-0.546,-0.312,0.602,-0.242,0.252,0.325,0.314,-0.487,1.0,0.082,0.032,0.171,-0.304,-0.238,0.611,-0.24,0.348
Goal 10 Score,0.615,0.552,-0.342,-0.554,-0.193,-0.59,0.245,0.434,0.082,1.0,-0.34,-0.718,0.659,0.653,-0.526,0.73,-0.717
Goal 11 Score,0.402,-0.042,-0.413,0.114,-0.049,0.014,-0.219,0.329,0.032,-0.34,1.0,-0.277,0.351,0.55,-0.256,0.601,-0.159
Goal 12 Score,0.616,0.575,-0.417,-0.349,-0.09,-0.821,0.248,0.257,0.171,-0.718,-0.277,1.0,0.973,0.658,-0.715,0.731,-0.684
Goal 13 Score,-0.666,-0.558,0.491,0.237,0.076,0.822,-0.16,-0.311,-0.304,0.659,0.351,0.973,1.0,-0.662,0.773,-0.771,0.67
Goal 14 Score,-0.627,-0.619,0.599,0.181,0.315,0.415,-0.004,-0.358,-0.238,0.653,0.55,0.658,-0.662,1.0,0.687,-0.832,0.727
Goal 15 Score,0.767,0.702,-0.741,-0.014,-0.252,-0.652,-0.083,0.557,0.611,-0.526,-0.256,-0.715,0.773,0.687,1.0,0.713,-0.74
Goal 16 Score,-0.613,-0.618,0.683,0.129,0.177,0.461,0.02,-0.293,-0.24,0.73,0.601,0.731,-0.771,-0.832,0.713,1.0,0.661
Goal 17 Score,0.69,0.681,-0.391,-0.44,-0.199,-0.652,0.176,0.508,0.348,-0.717,-0.159,-0.684,0.67,0.727,-0.74,0.661,1.0
