,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,-0.215,0.402,0.194,-0.098,0.208,0.186,-0.414,0.374,0.357,-0.047,-0.265,0.021,0.083,-0.572,-0.461,-0.467
Goal 2 Score,-0.215,1.0,-0.366,0.893,-0.897,-0.408,-0.436,0.666,0.25,0.362,0.832,-0.09,-0.624,0.337,-0.432,0.617,0.153
Goal 3 Score,0.402,-0.366,1.0,0.556,-0.566,0.117,0.111,0.71,-0.053,0.31,0.449,-0.28,-0.715,-0.244,0.074,0.546,0.111
Goal 4 Score,0.194,0.893,0.556,1.0,0.898,0.291,0.245,-0.652,-0.322,-0.439,-0.718,0.252,0.627,-0.269,0.389,-0.54,-0.142
Goal 5 Score,-0.098,-0.897,-0.566,0.898,1.0,-0.308,-0.283,0.748,0.198,0.35,0.862,-0.266,-0.712,0.35,-0.471,0.6,0.152
Goal 6 Score,0.208,-0.408,0.117,0.291,-0.308,1.0,-0.634,0.429,0.18,0.111,0.487,0.366,0.037,0.674,0.142,0.553,0.69
Goal 7 Score,0.186,-0.436,0.111,0.245,-0.283,-0.634,1.0,0.331,-0.269,0.016,0.613,0.292,-0.069,0.326,0.013,0.595,0.372
Goal 8 Score,-0.414,0.666,0.71,-0.652,0.748,0.429,0.331,1.0,0.068,-0.219,-0.721,0.04,0.615,-0.207,-0.003,-0.769,-0.445
Goal 9 Score,0.374,0.25,-0.053,-0.322,0.198,0.18,-0.269,0.068,1.0,-0.244,0.074,-0.194,-0.027,-0.343,0.302,0.026,-0.1
Goal 10 Score,0.357,0.362,0.31,-0.439,0.35,0.111,0.016,-0.219,-0.244,1.0,-0.294,0.129,0.315,-0.201,0.204,-0.164,-0.153
Goal 11 Score,-0.047,0.832,0.449,-0.718,0.862,0.487,0.613,-0.721,0.074,-0.294,1.0,0.093,0.69,-0.291,0.273,-0.719,-0.178
Goal 12 Score,-0.265,-0.09,-0.28,0.252,-0.266,0.366,0.292,0.04,-0.194,0.129,0.093,1.0,-0.121,-0.232,-0.31,-0.315,-0.492
Goal 13 Score,0.021,-0.624,-0.715,0.627,-0.712,0.037,-0.069,0.615,-0.027,0.315,0.69,-0.121,1.0,-0.154,-0.158,0.479,-0.075
Goal 14 Score,0.083,0.337,-0.244,-0.269,0.35,0.674,0.326,-0.207,-0.343,-0.201,-0.291,-0.232,-0.154,1.0,0.349,-0.249,-0.626
Goal 15 Score,-0.572,-0.432,0.074,0.389,-0.471,0.142,0.013,-0.003,0.302,0.204,0.273,-0.31,-0.158,0.349,1.0,-0.12,-0.271
Goal 16 Score,-0.461,0.617,0.546,-0.54,0.6,0.553,0.595,-0.769,0.026,-0.164,-0.719,-0.315,0.479,-0.249,-0.12,1.0,-0.573
Goal 17 Score,-0.467,0.153,0.111,-0.142,0.152,0.69,0.372,-0.445,-0.1,-0.153,-0.178,-0.492,-0.075,-0.626,-0.271,-0.573,1.0
