,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,-0.15,-0.468,0.603,-0.63,0.536,0.322,0.21,0.514,0.68,0.777,0.441,0.61,-0.015,0.312,0.356,-0.227
Goal 2 Score,-0.15,1.0,0.06,0.003,-0.129,0.035,0.077,-0.004,0.19,0.042,0.037,0.047,0.061,0.349,0.303,0.068,0.104
Goal 3 Score,-0.468,0.06,1.0,0.947,-0.877,0.767,0.534,0.493,0.849,0.6,0.801,0.777,0.764,-0.21,0.399,0.723,-0.545
Goal 4 Score,0.603,0.003,0.947,1.0,0.95,-0.878,-0.425,-0.405,-0.855,-0.542,-0.789,-0.873,-0.82,0.047,-0.51,-0.825,0.604
Goal 5 Score,-0.63,-0.129,-0.877,0.95,1.0,0.876,0.408,0.326,0.838,0.511,0.761,0.846,0.806,0.105,0.617,0.834,-0.553
Goal 6 Score,0.536,0.035,0.767,-0.878,0.876,1.0,-0.258,-0.199,-0.679,-0.297,-0.6,-0.898,-0.784,-0.209,-0.529,-0.909,0.768
Goal 7 Score,0.322,0.077,0.534,-0.425,0.408,-0.258,1.0,-0.095,-0.428,-0.411,-0.362,-0.354,-0.251,0.056,-0.236,-0.351,0.223
Goal 8 Score,0.21,-0.004,0.493,-0.405,0.326,-0.199,-0.095,1.0,-0.214,-0.331,-0.492,-0.169,-0.248,0.615,0.119,-0.044,0.063
Goal 9 Score,0.514,0.19,0.849,-0.855,0.838,-0.679,-0.428,-0.214,1.0,-0.624,-0.753,-0.779,-0.794,-0.025,-0.552,-0.698,0.404
Goal 10 Score,0.68,0.042,0.6,-0.542,0.511,-0.297,-0.411,-0.331,-0.624,1.0,-0.832,-0.307,-0.598,0.249,-0.224,-0.168,0.008
Goal 11 Score,0.777,0.037,0.801,-0.789,0.761,-0.6,-0.362,-0.492,-0.753,-0.832,1.0,-0.542,-0.778,0.277,-0.244,-0.424,0.336
Goal 12 Score,0.441,0.047,0.777,-0.873,0.846,-0.898,-0.354,-0.169,-0.779,-0.307,-0.542,1.0,-0.679,-0.205,-0.607,-0.926,0.629
Goal 13 Score,0.61,0.061,0.764,-0.82,0.806,-0.784,-0.251,-0.248,-0.794,-0.598,-0.778,-0.679,1.0,-0.079,-0.464,-0.72,0.565
Goal 14 Score,-0.015,0.349,-0.21,0.047,0.105,-0.209,0.056,0.615,-0.025,0.249,0.277,-0.205,-0.079,1.0,-0.386,-0.373,0.162
Goal 15 Score,0.312,0.303,0.399,-0.51,0.617,-0.529,-0.236,0.119,-0.552,-0.224,-0.244,-0.607,-0.464,-0.386,1.0,-0.627,0.179
Goal 16 Score,0.356,0.068,0.723,-0.825,0.834,-0.909,-0.351,-0.044,-0.698,-0.168,-0.424,-0.926,-0.72,-0.373,-0.627,1.0,0.723
Goal 17 Score,-0.227,0.104,-0.545,0.604,-0.553,0.768,0.223,0.063,0.404,0.008,0.336,0.629,0.565,0.162,0.179,0.723,1.0
