,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,-0.637,0.846,-0.302,0.727,0.288,0.672,-0.938,0.693,0.514,-0.672,-0.801,0.861,0.839,-0.149,0.183,0.443
Goal 2 Score,-0.637,1.0,0.741,-0.406,0.43,0.215,0.53,-0.611,0.684,-0.179,-0.617,-0.704,0.702,0.784,0.028,0.51,-0.036
Goal 3 Score,0.846,0.741,1.0,0.594,-0.711,0.068,-0.341,0.7,-0.629,-0.199,0.645,0.767,-0.799,-0.711,-0.034,-0.044,-0.116
Goal 4 Score,-0.302,-0.406,0.594,1.0,0.515,-0.271,-0.129,-0.171,0.315,0.043,0.089,-0.191,0.287,0.343,-0.24,-0.122,-0.11
Goal 5 Score,0.727,0.43,-0.711,0.515,1.0,0.14,-0.262,0.671,-0.571,-0.498,0.279,0.434,-0.529,-0.507,0.199,0.119,-0.343
Goal 6 Score,0.288,0.215,0.068,-0.271,0.14,1.0,-0.595,0.455,-0.311,-0.194,0.308,0.275,-0.382,-0.448,0.206,-0.499,-0.225
Goal 7 Score,0.672,0.53,-0.341,-0.129,-0.262,-0.595,1.0,0.734,-0.506,-0.302,0.617,0.644,-0.63,-0.699,0.145,-0.482,-0.407
Goal 8 Score,-0.938,-0.611,0.7,-0.171,0.671,0.455,0.734,1.0,0.754,0.489,-0.621,-0.753,0.845,0.841,-0.186,0.322,0.588
Goal 9 Score,0.693,0.684,-0.629,0.315,-0.571,-0.311,-0.506,0.754,1.0,-0.209,0.433,0.49,-0.705,-0.709,0.089,-0.22,-0.328
Goal 10 Score,0.514,-0.179,-0.199,0.043,-0.498,-0.194,-0.302,0.489,-0.209,1.0,0.014,0.137,-0.281,-0.328,0.494,0.218,-0.553
Goal 11 Score,-0.672,-0.617,0.645,0.089,0.279,0.308,0.617,-0.621,0.433,0.014,1.0,-0.847,0.745,0.545,0.346,0.236,0.11
Goal 12 Score,-0.801,-0.704,0.767,-0.191,0.434,0.275,0.644,-0.753,0.49,0.137,-0.847,1.0,0.924,0.727,0.175,0.212,0.276
Goal 13 Score,0.861,0.702,-0.799,0.287,-0.529,-0.382,-0.63,0.845,-0.705,-0.281,0.745,0.924,1.0,-0.803,-0.049,-0.194,-0.343
Goal 14 Score,0.839,0.784,-0.711,0.343,-0.507,-0.448,-0.699,0.841,-0.709,-0.328,0.545,0.727,-0.803,1.0,0.297,-0.508,-0.25
Goal 15 Score,-0.149,0.028,-0.034,-0.24,0.199,0.206,0.145,-0.186,0.089,0.494,0.346,0.175,-0.049,0.297,1.0,0.184,0.252
Goal 16 Score,0.183,0.51,-0.044,-0.122,0.119,-0.499,-0.482,0.322,-0.22,0.218,0.236,0.212,-0.194,-0.508,0.184,1.0,0.02
Goal 17 Score,0.443,-0.036,-0.116,-0.11,-0.343,-0.225,-0.407,0.588,-0.328,-0.553,0.11,0.276,-0.343,-0.25,0.252,0.02,1.0
