,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,-0.051,0.4,0.421,-0.038,0.35,-0.261,-0.019,-0.529,0.424,-0.497,0.141,-0.357,-0.597,-0.117,0.16,0.581
Goal 2 Score,-0.051,1.0,-0.556,0.597,0.773,0.797,-0.052,0.768,-0.68,-0.248,-0.671,0.848,-0.768,-0.063,0.125,0.789,-0.466
Goal 3 Score,0.4,-0.556,1.0,0.471,0.51,0.522,0.034,0.573,-0.386,-0.184,-0.442,0.33,-0.493,0.404,-0.338,0.635,-0.449
Goal 4 Score,0.421,0.597,0.471,1.0,-0.542,-0.788,0.625,-0.337,0.887,-0.197,0.899,-0.524,0.872,-0.005,0.272,-0.849,0.039
Goal 5 Score,-0.038,0.773,0.51,-0.542,1.0,-0.616,0.172,-0.469,0.621,0.176,0.539,-0.725,0.657,0.022,-0.215,-0.643,0.335
Goal 6 Score,0.35,0.797,0.522,-0.788,-0.616,1.0,0.307,-0.667,0.843,-0.116,0.848,-0.753,0.817,0.192,0.201,-0.797,0.123
Goal 7 Score,-0.261,-0.052,0.034,0.625,0.172,0.307,1.0,-0.231,-0.443,0.256,-0.356,0.154,-0.394,0.135,-0.221,0.459,0.1
Goal 8 Score,-0.019,0.768,0.573,-0.337,-0.469,-0.667,-0.231,1.0,0.524,0.121,0.546,-0.684,0.559,0.215,0.159,-0.49,0.216
Goal 9 Score,-0.529,-0.68,-0.386,0.887,0.621,0.843,-0.443,0.524,1.0,0.145,-0.921,0.649,-0.931,-0.252,-0.223,0.803,0.044
Goal 10 Score,0.424,-0.248,-0.184,-0.197,0.176,-0.116,0.256,0.121,0.145,1.0,0.215,0.189,-0.016,0.028,0.505,0.112,-0.439
Goal 11 Score,-0.497,-0.671,-0.442,0.899,0.539,0.848,-0.356,0.546,-0.921,0.215,1.0,0.573,-0.893,-0.158,-0.313,0.795,0.01
Goal 12 Score,0.141,0.848,0.33,-0.524,-0.725,-0.753,0.154,-0.684,0.649,0.189,0.573,1.0,0.73,0.345,-0.274,-0.63,0.232
Goal 13 Score,-0.357,-0.768,-0.493,0.872,0.657,0.817,-0.394,0.559,-0.931,-0.016,-0.893,0.73,1.0,-0.107,-0.152,0.859,-0.173
Goal 14 Score,-0.597,-0.063,0.404,-0.005,0.022,0.192,0.135,0.215,-0.252,0.028,-0.158,0.345,-0.107,1.0,0.267,-0.146,0.594
Goal 15 Score,-0.117,0.125,-0.338,0.272,-0.215,0.201,-0.221,0.159,-0.223,0.505,-0.313,-0.274,-0.152,0.267,1.0,0.193,0.235
Goal 16 Score,0.16,0.789,0.635,-0.849,-0.643,-0.797,0.459,-0.49,0.803,0.112,0.795,-0.63,0.859,-0.146,0.193,1.0,0.387
Goal 17 Score,0.581,-0.466,-0.449,0.039,0.335,0.123,0.1,0.216,0.044,-0.439,0.01,0.232,-0.173,0.594,0.235,0.387,1.0
