,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,0.798,-0.077,0.277,-0.841,-0.527,0.771,0.867,-0.729,0.746,0.838,0.087,0.408,0.606,-0.599,-0.123,0.783
Goal 2 Score,0.798,1.0,0.205,-0.226,0.918,0.678,-0.894,-0.811,0.91,-0.653,-0.815,-0.173,-0.297,-0.766,0.738,-0.13,-0.838
Goal 3 Score,-0.077,0.205,1.0,0.308,-0.284,0.223,0.314,0.303,-0.108,0.443,0.389,-0.26,0.415,-0.102,-0.456,0.07,0.354
Goal 4 Score,0.277,-0.226,0.308,1.0,0.417,0.452,-0.319,-0.417,0.226,-0.097,-0.134,0.002,-0.062,-0.161,0.008,-0.095,-0.39
Goal 5 Score,-0.841,0.918,-0.284,0.417,1.0,-0.672,0.857,0.905,-0.796,0.637,0.845,0.034,0.38,0.714,-0.669,0.047,0.844
Goal 6 Score,-0.527,0.678,0.223,0.452,-0.672,1.0,0.625,0.593,-0.622,0.235,0.426,0.321,-0.071,0.625,-0.16,0.044,0.564
Goal 7 Score,0.771,-0.894,0.314,-0.319,0.857,0.625,1.0,-0.794,0.871,-0.633,-0.721,-0.331,-0.167,-0.723,0.658,-0.225,-0.769
Goal 8 Score,0.867,-0.811,0.303,-0.417,0.905,0.593,-0.794,1.0,0.706,-0.736,-0.837,0.016,-0.508,-0.528,0.628,0.086,-0.814
Goal 9 Score,-0.729,0.91,-0.108,0.226,-0.796,-0.622,0.871,0.706,1.0,0.543,0.655,0.269,0.133,0.763,-0.651,0.226,0.785
Goal 10 Score,0.746,-0.653,0.443,-0.097,0.637,0.235,-0.633,-0.736,0.543,1.0,-0.882,0.001,-0.583,-0.382,0.719,0.308,-0.802
Goal 11 Score,0.838,-0.815,0.389,-0.134,0.845,0.426,-0.721,-0.837,0.655,-0.882,1.0,0.039,-0.533,-0.521,0.76,0.233,-0.846
Goal 12 Score,0.087,-0.173,-0.26,0.002,0.034,0.321,-0.331,0.016,0.269,0.001,0.039,1.0,0.652,-0.484,0.093,-0.481,-0.104
Goal 13 Score,0.408,-0.297,0.415,-0.062,0.38,-0.071,-0.167,-0.508,0.133,-0.583,-0.533,0.652,1.0,-0.006,0.386,0.272,-0.415
Goal 14 Score,0.606,-0.766,-0.102,-0.161,0.714,0.625,-0.723,-0.528,0.763,-0.382,-0.521,-0.484,-0.006,1.0,0.553,-0.374,-0.645
Goal 15 Score,-0.599,0.738,-0.456,0.008,-0.669,-0.16,0.658,0.628,-0.651,0.719,0.76,0.093,0.386,0.553,1.0,0.13,0.676
Goal 16 Score,-0.123,-0.13,0.07,-0.095,0.047,0.044,-0.225,0.086,0.226,0.308,0.233,-0.481,0.272,-0.374,0.13,1.0,0.077
Goal 17 Score,0.783,-0.838,0.354,-0.39,0.844,0.564,-0.769,-0.814,0.785,-0.802,-0.846,-0.104,-0.415,-0.645,0.676,0.077,1.0
