,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,0.715,0.943,0.451,-0.868,0.888,-0.893,-0.779,-0.774,-0.272,0.619,-0.872,0.844,0.879,-0.958,-0.589,-0.642
Goal 2 Score,0.715,1.0,-0.528,-0.526,0.457,-0.672,0.552,0.551,0.612,-0.323,-0.392,0.422,-0.373,-0.482,0.693,0.188,0.123
Goal 3 Score,0.943,-0.528,1.0,-0.172,0.849,-0.868,0.905,0.79,0.791,0.527,-0.688,0.943,-0.867,-0.893,0.918,0.721,0.813
Goal 4 Score,0.451,-0.526,-0.172,1.0,0.393,-0.228,0.331,0.242,0.092,-0.418,0.171,0.105,-0.311,-0.322,0.348,-0.221,-0.229
Goal 5 Score,-0.868,0.457,0.849,0.393,1.0,0.676,-0.858,-0.738,-0.467,-0.466,0.577,-0.893,0.945,0.904,-0.841,-0.568,-0.674
Goal 6 Score,0.888,-0.672,-0.868,-0.228,0.676,1.0,0.74,0.747,0.885,0.196,-0.718,0.814,-0.622,-0.715,0.924,0.689,0.721
Goal 7 Score,-0.893,0.552,0.905,0.331,-0.858,0.74,1.0,-0.811,-0.596,-0.436,0.527,-0.854,0.901,0.892,-0.833,-0.489,-0.609
Goal 8 Score,-0.779,0.551,0.79,0.242,-0.738,0.747,-0.811,1.0,-0.466,-0.285,0.463,-0.713,0.679,0.773,-0.746,-0.337,-0.61
Goal 9 Score,-0.774,0.612,0.791,0.092,-0.467,0.885,-0.596,-0.466,1.0,-0.208,0.7,-0.72,0.477,0.551,-0.811,-0.747,-0.653
Goal 10 Score,-0.272,-0.323,0.527,-0.418,-0.466,0.196,-0.436,-0.285,-0.208,1.0,0.357,-0.605,0.551,0.49,-0.262,-0.534,-0.715
Goal 11 Score,0.619,-0.392,-0.688,0.171,0.577,-0.718,0.527,0.463,0.7,0.357,1.0,0.751,-0.558,-0.543,0.721,0.824,0.774
Goal 12 Score,-0.872,0.422,0.943,0.105,-0.893,0.814,-0.854,-0.713,-0.72,-0.605,0.751,1.0,0.891,0.869,-0.899,-0.821,-0.874
Goal 13 Score,0.844,-0.373,-0.867,-0.311,0.945,-0.622,0.901,0.679,0.477,0.551,-0.558,0.891,1.0,-0.906,0.794,0.574,0.661
Goal 14 Score,0.879,-0.482,-0.893,-0.322,0.904,-0.715,0.892,0.773,0.551,0.49,-0.543,0.869,-0.906,1.0,0.84,0.549,0.663
Goal 15 Score,-0.958,0.693,0.918,0.348,-0.841,0.924,-0.833,-0.746,-0.811,-0.262,0.721,-0.899,0.794,0.84,1.0,-0.704,-0.713
Goal 16 Score,-0.589,0.188,0.721,-0.221,-0.568,0.689,-0.489,-0.337,-0.747,-0.534,0.824,-0.821,0.574,0.549,-0.704,1.0,-0.856
Goal 17 Score,-0.642,0.123,0.813,-0.229,-0.674,0.721,-0.609,-0.61,-0.653,-0.715,0.774,-0.874,0.661,0.663,-0.713,-0.856,1.0
