,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,-0.35,0.751,-0.622,0.775,-0.667,0.86,-0.773,-0.295,0.819,-0.715,0.7,-0.41,-0.617,0.6,0.819,-0.581
Goal 2 Score,-0.35,1.0,0.283,-0.024,0.571,-0.68,0.633,-0.658,0.486,0.419,-0.618,0.251,-0.098,-0.79,0.265,0.672,-0.684
Goal 3 Score,0.751,0.283,1.0,0.882,-0.884,0.767,-0.609,0.833,0.26,-0.894,0.794,-0.681,0.385,0.554,-0.449,-0.77,0.781
Goal 4 Score,-0.622,-0.024,0.882,1.0,0.784,-0.64,0.499,-0.653,-0.472,0.767,-0.612,0.712,-0.493,-0.392,0.337,0.625,-0.6
Goal 5 Score,0.775,0.571,-0.884,0.784,1.0,0.945,-0.82,0.961,0.113,-0.927,0.904,-0.789,0.488,0.821,-0.462,-0.948,0.91
Goal 6 Score,-0.667,-0.68,0.767,-0.64,0.945,1.0,0.794,-0.901,-0.003,0.843,-0.856,0.726,-0.495,-0.87,0.364,0.903,-0.897
Goal 7 Score,0.86,0.633,-0.609,0.499,-0.82,0.794,1.0,0.852,-0.0,-0.779,0.837,-0.631,0.31,0.776,-0.646,-0.918,0.679
Goal 8 Score,-0.773,-0.658,0.833,-0.653,0.961,-0.901,0.852,1.0,0.057,0.91,-0.935,0.694,-0.345,-0.83,0.547,0.974,-0.929
Goal 9 Score,-0.295,0.486,0.26,-0.472,0.113,-0.003,-0.0,0.057,1.0,0.135,0.064,0.394,-0.581,0.026,-0.122,0.013,0.101
Goal 10 Score,0.819,0.419,-0.894,0.767,-0.927,0.843,-0.779,0.91,0.135,1.0,0.836,-0.71,0.36,0.669,-0.55,-0.866,0.831
Goal 11 Score,-0.715,-0.618,0.794,-0.612,0.904,-0.856,0.837,-0.935,0.064,0.836,1.0,0.556,-0.211,-0.761,0.553,0.924,-0.826
Goal 12 Score,0.7,0.251,-0.681,0.712,-0.789,0.726,-0.631,0.694,0.394,-0.71,0.556,1.0,0.842,0.666,-0.285,-0.737,0.667
Goal 13 Score,-0.41,-0.098,0.385,-0.493,0.488,-0.495,0.31,-0.345,-0.581,0.36,-0.211,0.842,1.0,-0.494,-0.143,0.411,-0.397
Goal 14 Score,-0.617,-0.79,0.554,-0.392,0.821,-0.87,0.776,-0.83,0.026,0.669,-0.761,0.666,-0.494,1.0,0.319,0.874,-0.851
Goal 15 Score,0.6,0.265,-0.449,0.337,-0.462,0.364,-0.646,0.547,-0.122,-0.55,0.553,-0.285,-0.143,0.319,1.0,-0.553,0.358
Goal 16 Score,0.819,0.672,-0.77,0.625,-0.948,0.903,-0.918,0.974,0.013,-0.866,0.924,-0.737,0.411,0.874,-0.553,1.0,0.879
Goal 17 Score,-0.581,-0.684,0.781,-0.6,0.91,-0.897,0.679,-0.929,0.101,0.831,-0.826,0.667,-0.397,-0.851,0.358,0.879,1.0
