,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,0.824,-0.63,0.733,-0.742,-0.58,0.583,-0.701,-0.57,0.93,0.83,-0.765,-0.407,0.799,-0.543,-0.728,0.932
Goal 2 Score,0.824,1.0,0.656,-0.657,0.883,0.391,-0.21,0.6,0.751,-0.765,-0.798,0.895,0.187,-0.777,0.706,0.731,-0.785
Goal 3 Score,-0.63,0.656,1.0,0.808,-0.76,-0.322,0.356,-0.628,-0.364,0.732,0.75,-0.752,0.009,0.786,-0.521,-0.58,0.632
Goal 4 Score,0.733,-0.657,0.808,1.0,0.823,0.333,-0.309,0.674,0.601,-0.78,-0.579,0.789,-0.025,-0.925,0.296,0.444,-0.733
Goal 5 Score,-0.742,0.883,-0.76,0.823,1.0,-0.172,0.066,-0.666,-0.774,0.676,0.704,-0.928,0.009,0.86,-0.519,-0.525,0.703
Goal 6 Score,-0.58,0.391,-0.322,0.333,-0.172,1.0,0.83,-0.306,0.081,0.692,0.565,-0.195,-0.545,0.313,-0.239,-0.707,0.711
Goal 7 Score,0.583,-0.21,0.356,-0.309,0.066,0.83,1.0,0.409,-0.235,-0.663,-0.501,0.051,0.627,-0.255,0.069,0.549,-0.612
Goal 8 Score,-0.701,0.6,-0.628,0.674,-0.666,-0.306,0.409,1.0,-0.334,0.669,0.694,-0.617,-0.099,0.661,-0.313,-0.537,0.593
Goal 9 Score,-0.57,0.751,-0.364,0.601,-0.774,0.081,-0.235,-0.334,1.0,0.444,0.345,-0.825,0.125,0.725,-0.449,-0.229,0.492
Goal 10 Score,0.93,-0.765,0.732,-0.78,0.676,0.692,-0.663,0.669,0.444,1.0,-0.827,0.726,0.316,-0.821,0.525,0.795,-0.924
Goal 11 Score,0.83,-0.798,0.75,-0.579,0.704,0.565,-0.501,0.694,0.345,-0.827,1.0,0.743,0.233,-0.655,0.718,0.888,-0.797
Goal 12 Score,-0.765,0.895,-0.752,0.789,-0.928,-0.195,0.051,-0.617,-0.825,0.726,0.743,1.0,0.13,0.893,-0.704,-0.613,0.707
Goal 13 Score,-0.407,0.187,0.009,-0.025,0.009,-0.545,0.627,-0.099,0.125,0.316,0.233,0.13,1.0,-0.018,0.002,-0.243,0.417
Goal 14 Score,0.799,-0.777,0.786,-0.925,0.86,0.313,-0.255,0.661,0.725,-0.821,-0.655,0.893,-0.018,1.0,0.48,0.529,-0.758
Goal 15 Score,-0.543,0.706,-0.521,0.296,-0.519,-0.239,0.069,-0.313,-0.449,0.525,0.718,-0.704,0.002,0.48,1.0,-0.703,0.481
Goal 16 Score,-0.728,0.731,-0.58,0.444,-0.525,-0.707,0.549,-0.537,-0.229,0.795,0.888,-0.613,-0.243,0.529,-0.703,1.0,0.745
Goal 17 Score,0.932,-0.785,0.632,-0.733,0.703,0.711,-0.612,0.593,0.492,-0.924,-0.797,0.707,0.417,-0.758,0.481,0.745,1.0
