,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,-0.129,0.575,0.725,-0.619,0.645,-0.432,-0.754,-0.143,-0.33,0.184,-0.465,-0.384,-0.618,0.303,-0.482,-0.533
Goal 2 Score,-0.129,1.0,-0.18,0.594,-0.312,0.157,-0.191,-0.013,0.459,-0.298,0.0,0.321,-0.408,-0.141,0.339,0.507,0.077
Goal 3 Score,0.575,-0.18,1.0,-0.409,0.554,-0.469,0.707,0.376,0.088,0.253,-0.115,0.199,0.022,0.496,-0.467,0.536,0.588
Goal 4 Score,0.725,0.594,-0.409,1.0,0.737,-0.546,0.632,0.577,-0.3,0.468,-0.162,0.184,0.358,0.568,-0.494,0.142,0.527
Goal 5 Score,-0.619,-0.312,0.554,0.737,1.0,0.77,-0.845,-0.236,0.225,-0.668,0.246,0.159,-0.497,-0.581,0.796,-0.044,-0.459
Goal 6 Score,0.645,0.157,-0.469,-0.546,0.77,1.0,0.577,0.359,0.103,0.509,0.181,-0.165,0.523,0.581,-0.698,-0.006,0.176
Goal 7 Score,-0.432,-0.191,0.707,0.632,-0.845,0.577,1.0,-0.11,0.245,-0.451,0.304,0.115,-0.184,-0.426,0.686,-0.147,-0.566
Goal 8 Score,-0.754,-0.013,0.376,0.577,-0.236,0.359,-0.11,1.0,-0.156,-0.177,0.144,-0.692,-0.163,-0.555,-0.0,-0.529,-0.556
Goal 9 Score,-0.143,0.459,0.088,-0.3,0.225,0.103,0.245,-0.156,1.0,0.184,-0.089,-0.356,-0.054,-0.082,-0.258,-0.338,0.205
Goal 10 Score,-0.33,-0.298,0.253,0.468,-0.668,0.509,-0.451,-0.177,0.184,1.0,0.176,0.271,-0.589,-0.521,0.633,0.197,-0.218
Goal 11 Score,0.184,0.0,-0.115,-0.162,0.246,0.181,0.304,0.144,-0.089,0.176,1.0,0.291,0.136,0.125,0.039,0.281,0.596
Goal 12 Score,-0.465,0.321,0.199,0.184,0.159,-0.165,0.115,-0.692,-0.356,0.271,0.291,1.0,0.333,-0.143,-0.505,-0.788,-0.51
Goal 13 Score,-0.384,-0.408,0.022,0.358,-0.497,0.523,-0.184,-0.163,-0.054,-0.589,0.136,0.333,1.0,-0.486,0.481,0.19,0.05
Goal 14 Score,-0.618,-0.141,0.496,0.568,-0.581,0.581,-0.426,-0.555,-0.082,-0.521,0.125,-0.143,-0.486,1.0,0.487,-0.29,-0.456
Goal 15 Score,0.303,0.339,-0.467,-0.494,0.796,-0.698,0.686,-0.0,-0.258,0.633,0.039,-0.505,0.481,0.487,1.0,-0.253,0.183
Goal 16 Score,-0.482,0.507,0.536,0.142,-0.044,-0.006,-0.147,-0.529,-0.338,0.197,0.281,-0.788,0.19,-0.29,-0.253,1.0,-0.599
Goal 17 Score,-0.533,0.077,0.588,0.527,-0.459,0.176,-0.566,-0.556,0.205,-0.218,0.596,-0.51,0.05,-0.456,0.183,-0.599,1.0
