,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,0.605,0.462,-0.055,-0.517,-0.306,0.91,-0.932,0.122,0.901,0.904,0.385,-0.604,0.605,0.794,-0.687,-0.285
Goal 2 Score,0.605,1.0,-0.449,0.416,0.627,0.378,-0.579,0.641,0.027,-0.469,-0.611,0.165,0.089,-0.293,-0.476,0.867,-0.075
Goal 3 Score,0.462,-0.449,1.0,0.372,0.511,0.009,-0.167,0.341,0.045,-0.354,-0.296,0.15,-0.172,-0.332,-0.306,0.593,0.164
Goal 4 Score,-0.055,0.416,0.372,1.0,-0.298,-0.229,0.065,-0.018,-0.238,-0.198,0.136,-0.466,0.299,-0.318,0.122,-0.342,0.419
Goal 5 Score,-0.517,0.627,0.511,-0.298,1.0,0.001,0.333,-0.407,0.402,0.306,0.452,0.016,-0.091,0.562,0.244,-0.757,0.124
Goal 6 Score,-0.306,0.378,0.009,-0.229,0.001,1.0,0.503,-0.351,-0.556,0.291,0.553,-0.329,0.029,-0.11,0.303,-0.191,0.143
Goal 7 Score,0.91,-0.579,-0.167,0.065,0.333,0.503,1.0,0.923,0.015,-0.831,-0.902,-0.319,0.618,-0.435,-0.807,0.547,0.231
Goal 8 Score,-0.932,0.641,0.341,-0.018,-0.407,-0.351,0.923,1.0,0.091,0.868,0.881,0.367,-0.604,0.509,0.85,-0.63,-0.318
Goal 9 Score,0.122,0.027,0.045,-0.238,0.402,-0.556,0.015,0.091,1.0,-0.12,0.052,-0.66,0.447,-0.493,0.078,0.213,0.025
Goal 10 Score,0.901,-0.469,-0.354,-0.198,0.306,0.291,-0.831,0.868,-0.12,1.0,-0.849,-0.53,0.66,-0.649,-0.668,0.543,0.45
Goal 11 Score,0.904,-0.611,-0.296,0.136,0.452,0.553,-0.902,0.881,0.052,-0.849,1.0,-0.298,0.579,-0.474,-0.749,0.61,0.23
Goal 12 Score,0.385,0.165,0.15,-0.466,0.016,-0.329,-0.319,0.367,-0.66,-0.53,-0.298,1.0,0.889,-0.486,-0.276,0.0,0.466
Goal 13 Score,-0.604,0.089,-0.172,0.299,-0.091,0.029,0.618,-0.604,0.447,0.66,0.579,0.889,1.0,0.457,0.544,-0.194,-0.404
Goal 14 Score,0.605,-0.293,-0.332,-0.318,0.562,-0.11,-0.435,0.509,-0.493,-0.649,-0.474,-0.486,0.457,1.0,-0.256,0.487,0.366
Goal 15 Score,0.794,-0.476,-0.306,0.122,0.244,0.303,-0.807,0.85,0.078,-0.668,-0.749,-0.276,0.544,-0.256,1.0,0.464,0.371
Goal 16 Score,-0.687,0.867,0.593,-0.342,-0.757,-0.191,0.547,-0.63,0.213,0.543,0.61,0.0,-0.194,0.487,0.464,1.0,0.082
Goal 17 Score,-0.285,-0.075,0.164,0.419,0.124,0.143,0.231,-0.318,0.025,0.45,0.23,0.466,-0.404,0.366,0.371,0.082,1.0
