,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,-0.332,0.777,-0.68,0.672,-0.746,0.628,-0.045,0.464,0.896,0.727,-0.118,0.323,-0.249,0.435,-0.655,-0.441
Goal 2 Score,-0.332,1.0,0.48,-0.276,0.181,-0.53,0.078,0.08,0.714,0.427,0.529,-0.27,0.361,-0.099,0.517,-0.572,-0.199
Goal 3 Score,0.777,0.48,1.0,0.895,-0.829,0.928,-0.217,-0.016,-0.479,-0.809,-0.922,0.367,-0.52,-0.016,-0.828,0.913,0.484
Goal 4 Score,-0.68,-0.276,0.895,1.0,0.87,-0.789,0.342,0.208,0.325,0.676,0.798,-0.095,0.221,0.024,0.73,-0.742,-0.592
Goal 5 Score,0.672,0.181,-0.829,0.87,1.0,0.71,-0.375,0.091,-0.163,-0.686,-0.66,0.181,-0.365,-0.2,-0.57,0.638,0.622
Goal 6 Score,-0.746,-0.53,0.928,-0.789,0.71,1.0,0.272,0.021,0.638,0.886,0.97,-0.479,0.652,-0.016,0.824,-0.953,-0.353
Goal 7 Score,0.628,0.078,-0.217,0.342,-0.375,0.272,1.0,-0.131,-0.191,-0.541,-0.176,-0.382,0.123,0.162,0.023,0.067,0.428
Goal 8 Score,-0.045,0.08,-0.016,0.208,0.091,0.021,-0.131,1.0,0.12,0.094,-0.029,-0.338,0.423,0.218,-0.175,0.006,0.249
Goal 9 Score,0.464,0.714,-0.479,0.325,-0.163,0.638,-0.191,0.12,1.0,-0.58,-0.639,0.238,-0.379,0.145,-0.491,0.605,-0.037
Goal 10 Score,0.896,0.427,-0.809,0.676,-0.686,0.886,-0.541,0.094,-0.58,1.0,-0.849,0.363,-0.591,0.157,-0.561,0.807,0.374
Goal 11 Score,0.727,0.529,-0.922,0.798,-0.66,0.97,-0.176,-0.029,-0.639,-0.849,1.0,0.509,-0.618,0.082,-0.82,0.976,0.342
Goal 12 Score,-0.118,-0.27,0.367,-0.095,0.181,-0.479,-0.382,-0.338,0.238,0.363,0.509,1.0,0.881,0.08,0.343,-0.618,0.075
Goal 13 Score,0.323,0.361,-0.52,0.221,-0.365,0.652,0.123,0.423,-0.379,-0.591,-0.618,0.881,1.0,-0.151,-0.445,0.69,0.049
Goal 14 Score,-0.249,-0.099,-0.016,0.024,-0.2,-0.016,0.162,0.218,0.145,0.157,0.082,0.08,-0.151,1.0,-0.076,-0.046,0.032
Goal 15 Score,0.435,0.517,-0.828,0.73,-0.57,0.824,0.023,-0.175,-0.491,-0.561,-0.82,0.343,-0.445,-0.076,1.0,0.835,0.362
Goal 16 Score,-0.655,-0.572,0.913,-0.742,0.638,-0.953,0.067,0.006,0.605,0.807,0.976,-0.618,0.69,-0.046,0.835,1.0,-0.316
Goal 17 Score,-0.441,-0.199,0.484,-0.592,0.622,-0.353,0.428,0.249,-0.037,0.374,0.342,0.075,0.049,0.032,0.362,-0.316,1.0
